ctmsId,externalId,namespace,contentType,createdAt,sourceLanguage,sourceText,targetLanguage,enReferenceTranslation,targetText,contentId,translationProvider,productViewCount,productRevenue,productURL,Evaluation,Root Cause,Comment
ugc-rr_customer-review_42737001_80030511,42737001_80030511,ugc-rr,customer-review,2025-01-15 21:35:10.735409 UTC,tr-tr,tam numaranızı alın çok güzel 2. kez alıyorum aynı ayakkabıyı,ar-ae,get your full number very beautiful I'm buying the same shoes for the second time,احصل على رقمك الكامل جميلة جدا أنا أشتري نفس الأحذية للمرة الثانية,42737001,Alibaba,10308245.0,52127,https://www.trendyol.com/ar/pname-p-42737001,Evaluation Blocked,,Both English and Arabic are not understandable.
ugc-rr_customer-review_42737001_7636656,42737001_7636656,ugc-rr,customer-review,2024-12-31 21:25:14.580759 UTC,tr-tr,gerçekten çok rahat ve şık bi ürün gönderici mağazaya da teşekkürler kargo güzel paketlenmiş ��,ar-ae,Really very comfortable and stylish a product sender Thanks to the store too shipping well packaged ��,حقا مريحة جدا وأنيقة إرسال المنتج شكرا للمتجر أيضا البضائع معبأة بشكل جيد ��,42737001,Alibaba,10308245.0,50683,https://www.trendyol.com/ar/pname-p-42737001,Not OK,,Words are very mixed up and not understandable both in Arabic and English.
ugc-rr_customer-review_42737001_35354203,42737001_35354203,ugc-rr,customer-review,2024-11-23 21:25:27.448633 UTC,tr-tr,oğlum için teyzesi doğum günü için aldı  gerçekten. çok güzel bir ürün,ar-ae,Honestly bought it for my son for his birthday. very nice product,لقد اشترته حقًا لابني في عيد ميلاد عمته. منتج جميل جدا,42737001,Alibaba,10308245.0,1101,https://www.trendyol.com/ar/pname-p-42737001,Evaluation Blocked,,"English text is missing important info that the aunt is the one who bought the product.
ugc-rr_customer-review_42737001_29263458,42737001_29263458,ugc-rr,customer-review,2025-02-18 21:28:36.159027 UTC,tr-tr,Çok hızlı satıcı ayakkabilar çok güzel kaliteli,ar-ae,Very fast seller shoes very nice quality,أحذية بائع سريع جدا لطيفة جدا وذات نوعية جيدة,42737001,Alibaba,10308245.0,4606,https://www.trendyol.com/ar/pname-p-42737001,Not OK,,"Words are mixed and not properly structured. Arabic text says:
ugc-rr_customer-review_42737001_121193227,42737001_121193227,ugc-rr,customer-review,2025-03-13 11:07:55.729621 UTC,tr-tr,Kalıp tam. Rahat ayakkabı.,ar-ae,The pattern is complete. Comfortable shoes.,النمط مكتمل احذية مريحة.,42737001,Alibaba,10308245.0,32022,https://www.trendyol.com/ar/pname-p-42737001,Evaluation Blocked,,English text is the problem.
ugc-rr_customer-review_42737001_32793451,42737001_32793451,ugc-rr,customer-review,2025-03-13 11:07:55.729766 UTC,tr-tr,Rahat ve kullanışlı,ar-ae,It's comfortable and practical,إنه مريح ومريح,42737001,Alibaba,10308245.0,74626,https://www.trendyol.com/ar/pname-p-42737001,OK,,
ugc-rr_customer-review_42737001_11292904,42737001_11292904,ugc-rr,customer-review,2025-03-13 11:07:55.056585 UTC,tr-tr,Kızıma aldım çok severek giydi bir kalıp,ar-ae,"I bought it for my daughter. She enjoyed wearing it, it's a perfect fit.",اشتريته لابنتي، لقد أحببته.,42737001,Alibaba,10308245.0,421,https://www.trendyol.com/ar/pname-p-42737001,Evaluation Blocked,,"Missing info. ""it's a perfect fit"" wasn't translated."
product-core_content-description_878275512_35,878275512_35,product-core,content-description,2025-02-20 07:25:53.361417 UTC,tr-tr,nike FN4322-005 PRECISION VII BASKETBOL AYAKKABISI,ar-ae,Nike fn4322-005 Precision vii BASKETBALL SHOES,نايك FN4322-005 المقطع السابع أحذية كرة السلة,878275512,Alibaba,1156295.0,22726,https://www.trendyol.com/ar/pname-p-878275512,Not OK,,"""Precision vii"" shouldn't be translated as it is the model name."
product-core_content-description_893361742_35,893361742_35,product-core,content-description,2025-01-20 14:50:11.810182 UTC,tr-tr,Adelina 2 Frosted Ivory-PUMA White,ar-ae,Adelina 2 frosted ivory-puma white,أديلينا 2 فروستيد إيفي-بوما وايت,893361742,Alibaba,653860.0,85914,https://www.trendyol.com/ar/pname-p-893361742,Evaluation Blocked,,The Arabic text is just a transliteration of the English text without mentioning what the product is.
product-core_content-description_842041667_35,842041667_35,product-core,content-description,2025-03-13 10:23:36.441231 UTC,tr-tr,Skyrocket Lite WTR-Cool Mid Gray-PUMA Black,ar-ae,Skyrocket Lite Wtr-Cool Mid Gray-Puma Black,Skyrocket Lite WTR-Cool Mid Gray-PUMA Black,842041667,Alibaba,473108.0,9299,https://www.trendyol.com/ar/pname-p-842041667,Evaluation Blocked,,
product-core_content-description_776476374_35,776476374_35,product-core,content-description,2025-03-02 01:01:44.769739 UTC,tr-tr,New Balance 408 Lifestyle Unisex Günlük Ayakkabı - ML408WN,ar-ae,New balance 408 lifestyle unisex daily shoes - ml408wn,حذاء نيو بالانس 408 لايف ستايل اليومي لكلا الجنسين - ML408WN,776476374,Alibaba,359835.0,60655,https://www.trendyol.com/ar/pname-p-776476374,OK,,
product-core_content-description_828498390_35,828498390_35,product-core,content-description,2025-02-28 15:19:56.131314 UTC,tr-tr,Adidas Ozelle Erkek Sneaker,ar-ae,Adidas ozelle men's sneaker,حذاء أديداس أوزيل الرياضي للرجال,828498390,Alibaba,357407.0,24204,https://www.trendyol.com/ar/pname-p-828498390,Ideal,,
product-core_content-description_893370242_35,893370242_35,product-core,content-description,2025-01-20 15:18:09.535318 UTC,tr-tr,SOFTRIDE Orla PUMA White-Cool Weather-Pe,ar-ae,Softride orla puma white-cool Weather-pe,سوفتريد أورلا بوما أبيض بارد طقس بي,893370242,Alibaba,307061.0,51722,https://www.trendyol.com/ar/pname-p-893370242,Evaluation Blocked,,Arabic text doesn't explain what the product actually is.
product-core_content-description_736020371_35,736020371_35,product-core,content-description,2025-02-28 15:45:57.379424 UTC,tr-tr,Puma Erkek Koşu ve Antreman Ayakkabısı Anzarun Lite PUMA Black-PUMA White-For A 37112850,ar-ae,Puma men's running and training shoes anzarun lite Puma black-puma white-for a 37112850,حذاء الجري والتدريب للرجال من بوما أنزارون لايت باما بلاك-باما وايت-لأ 37112850,736020371,Alibaba,295390.0,57506,https://www.trendyol.com/ar/pname-p-736020371,OK,,
