ctmsId,externalId,namespace,contentType,createdAt,sourceLanguage,sourceText,targetLanguage,enReferenceTranslation,targetText,contentId,translationProvider,productViewCount,productRevenue,productURL,Evaluation,Root Cause,Comment,arabic_percentage
ugc-rr_customer-review_933082292_190079520,933082292_190079520,ugc-rr,customer-review,2025-08-13 22:16:57.567288 UTC,tr-tr,Gayet güzel tam beden oturdu bitane aldım daha başka renklerinide alacam,ar-ae,"It fits very well, I bought it and I will buy it in other colors.",إنه مناسب جدًا، اشتريته وسأشتريه بألوان أخرى.,933082292,Alibaba,9111266.0,43418,https://www.trendyol.com/ar/pname-p-933082292,OK,,,105.55555555555556
prod-qna_prod-qna_951913269_329578823_a,951913269_329578823_a,prod-qna,prod-qna,2025-07-10 10:46:36.978177 UTC,tr-tr,"Merhaba,  KoraySpor güvencesiyle aldığınız tüm ürünler %100 orijinaldir ve size faturalı olarak gönderilir.  Ürünü kullanmadığınız takdirde, 15 iş günü içinde iade hakkınız bulunmaktadır.  Ürünü kullandıktan sonra herhangi bir üretim hatasıyla karşılaşırsanız, 1 yıla kadar garanti süreniz mevcuttur.  Alışverişinizde bizi tercih ettiğiniz için çok teşekkür ederiz. Güvenli ve keyifli kullanımlar dileriz",ar-ae,"Hello, All products you purchase with the assurance of KoraySpor are 100% original and sent to you with an invoice. If you do not use the product, you have the right to return it within 15 business days. If you find any manufacturing defects after using the product, you have up to 1 year of warranty. Thank you very much for choosing us for your shopping. We wish you safe and enjoyable use.",مرحبًا، جميع المنتجات التي تشتريها بضمان KoraySpor أصلية 100% ويتم إرسالها إليك مع الفاتورة. إذا لم تستخدم المنتج، يحق لك إعادته خلال 15 يوم عمل. إذا وجدت أي عيوب تصنيع بعد استخدام المنتج، فلديك فترة ضمان تصل إلى عام واحد. شكرا جزيلا لاختيارك لنا للتسوق الخاص بك. نتمنى لكم استخدامات آمنة وممتعة.,951913269,Alibaba,26504736.0,62712,https://www.trendyol.com/ar/pname-p-951913269,OK,,,95.74468085106383
prod-qna_prod-qna_113319781_165874119_q,113319781_165874119_q,prod-qna,prod-qna,2025-04-14 22:28:36.856830 UTC,tr-tr,1.58 boyum 52 kiloyum hangi bedeni almam gerek,ar-ae,,طولي 1.58 سم ووزني 52 كيلو، ما هو المقاس الذي يجب أن أختاره؟,113319781,,,80588,,OK,,,93.33333333333333
product-core_content-description_939053876_1,939053876_1,product-core,content-description,2025-08-26 09:40:08.542395 UTC,tr-tr,ADİDAS Kadın Günlük Spor Ayakkabı RUNFALCON 5 W JR3092,ar-ae,Adidas women's casual sneakers runfalcon 5 w jr3092,حذاء رياضي كاجوال للنساء من أديداس RUNFALCON 5 W JR3092,939053876,Alibaba,1489771.0,64465,https://www.trendyol.com/ar/pname-p-939053876,OK,,,63.04347826086957
product-core_content-name_951775702_1,951775702_1,product-core,content-name,2025-07-03 10:51:21.323641 UTC,tr-tr,Hypnotic Ls Erkek Günlük Ayakkabı 39529502 Siyah,ar-ae,Hypnotic Ls Men's Casual Shoes 39529502 Black,حذاء كاجوال رجالي من Hypnotic Ls 39529502 باللون الأسود,951775702,Alibaba,26504736.0,90397,https://www.trendyol.com/ar/pname-p-951775702,OK,,,61.702127659574465
product-core_content-description_707187779_49,707187779_49,product-core,content-description,2025-04-08 11:20:07.007485 UTC,tr-tr,Adidas Erkek Sneaker Siyah HP6011 Adidas Vs Pace 2.0 Erkek Spor Ayakkabı,ar-ae,,حذاء رياضي رجالي من Adidas باللون الأسود HP6011 حذاء رياضي رجالي من Adidas Vs Pace 2.0,707187779,Alibaba,2222704.0,60064,https://www.trendyol.com/ar/pname-p-707187779,OK,,,62.857142857142854
product-core_content-name_182901857_1,182901857_1,product-core,content-name,2023-12-12 07:17:14.805167 UTC,tr-tr,Lacivert-Bej %100 Pamuk 2'li Paket Basic Bisiklet Yaka Örme T-Shirt TWOSS20TS0141,ar-ae,Navy Blue-Beige 100% Cotton 2 Pack Basic Crew Neck Knitted T-Shirt TWOSS20TS0141,تي شيرت محبوك أساسي برقبة دائرية 100% قطن باللون الأزرق الداكن والبيج TWOSS20TS0141,182901857,,1684508.0,78858,https://www.trendyol.com/ar/pname-p-182901857,OK,,,77.14285714285715
product-core_content-description_691055262_43,691055262_43,product-core,content-description,2025-07-01 12:16:30.963940 UTC,tr-tr,-,ar-ae,-,-,691055262,Alibaba,2614642.0,23194,https://www.trendyol.com/ar/pname-p-691055262,OK,,,0.0
product-core_content-description_313155533_1,313155533_1,product-core,content-description,2025-05-08 03:56:54.140301 UTC,tr-tr,Puma Skye Clean Sneaker,ar-ae,,حذاء رياضي بوما سكاي كلين,313155533,Alibaba,2126294.0,25190,https://www.trendyol.com/ar/pname-p-313155533,OK,,,100.0
product-core_content-description_887263146_1,887263146_1,product-core,content-description,2025-05-12 19:49:07.014951 UTC,tr-tr,ADİDAS Erkek GÜNLÜK AYAKKABI GRAND COURT BASE 2.0 JH8610,ar-ae,,أديداس حذاء رجالي يومي جراند كورت بيس 2.0 JH8610,887263146,Alibaba,8817939.0,63440,https://www.trendyol.com/ar/pname-p-887263146,OK,,,79.48717948717949
