ctmsId,externalId,namespace,contentType,createdAt,sourceLanguage,sourceText,targetLanguage,enReferenceTranslation,targetText,contentId,translationProvider,productViewCount,productRevenue,productURL,Evaluation,Root Cause,Comment,arabic_percentage
ugc-rr_customer-review_42737001_7636656,42737001_7636656,ugc-rr,customer-review,2024-12-31 21:25:14.580759 UTC,tr-tr,gerçekten çok rahat ve şık bi ürün gönderici mağazaya da teşekkürler kargo güzel paketlenmiş ��,ar-ae,Really very comfortable and stylish a product sender Thanks to the store too shipping well packaged ��,حقا مريحة جدا وأنيقة إرسال المنتج شكرا للمتجر أيضا البضائع معبأة بشكل جيد ��,42737001,Alibaba,10308245.0,50683,https://www.trendyol.com/ar/pname-p-42737001,Not OK,,Words are very mixed up and not understandable both in Arabic and English.,100.0
product-core_content-description_842041667_35,842041667_35,product-core,content-description,2025-03-13 10:23:36.441231 UTC,tr-tr,Skyrocket Lite WTR-Cool Mid Gray-PUMA Black,ar-ae,Skyrocket Lite Wtr-Cool Mid Gray-Puma Black,Skyrocket Lite WTR-Cool Mid Gray-PUMA Black,842041667,Alibaba,473108.0,9299,https://www.trendyol.com/ar/pname-p-842041667,Evaluation Blocked,,,0.0
product-core_content-description_892011723_35,892011723_35,product-core,content-description,2025-01-15 10:33:31.527392 UTC,tr-tr,W NIKE COURT VISION LO VDAY WHITE/TEAM RED-ADOBE-DRAGON RED,ar-ae,W nike court vision lo vday white/team red-adobe-dragon red,W NIKE COURT VISION LO VDAY WHITE/TEAM RED-ADOBE-DRAGON RED,892011723,Alibaba,227582.0,34033,https://www.trendyol.com/ar/pname-p-892011723,OK,,,0.0
product-core_content-description_893361816_35,893361816_35,product-core,content-description,2025-01-20 14:50:23.768555 UTC,tr-tr,Puma 9-T PUMA White-Mauve Mist-Alpine Sn,ar-ae,Puma 9-t puma white-mauve mist-alpine sn,Puma 9-T PUMA White-Mauve Mist-Alpine Sn,893361816,Alibaba,219177.0,41383,https://www.trendyol.com/ar/pname-p-893361816,Evaluation Blocked,,,0.0
product-core_content-description_892011741_35,892011741_35,product-core,content-description,2025-01-15 10:33:31.733746 UTC,tr-tr,W NIKE COURT VISION LO PHANTOMPSYCHICBLUE-LTBONE-DIFFUSEDBL,ar-ae,W nike court vision lo phantompsychicblue-ltbone-diffusedbl,W NIKE COURT VISION LO PHANTOMPSYCHICBLUE-LTBONE-DIFFUSEDBL,892011741,Alibaba,164079.0,73502,https://www.trendyol.com/ar/pname-p-892011741,Evaluation Blocked,,,0.0
product-core_content-name_893361836_35,893361836_35,product-core,content-name,2025-01-20 14:50:11.480727 UTC,tr-tr,R78 PUMA White-PUMA Black-Red Fire,ar-ae,R78 Puma White-Puma Black-Red Fire,R78 PUMA White-PUMA Black-Red Fire,893361836,Alibaba,270241.0,89220,https://www.trendyol.com/ar/pname-p-893361836,OK,,,0.0
product-core_content-name_839049837_35,839049837_35,product-core,content-name,2025-05-07 14:47:55.270571 UTC,tr-tr,SUMMITS,ar-ae,,غد,839049837,,,82946,,OK,Summits,Literal translation,100.0
product-core_content-name_902137916_35,902137916_35,product-core,content-name,2025-02-25 15:58:41.518166 UTC,tr-tr,Skyrocket Lite Sun Stream-Sunset Glow,ar-ae,,Skyrocket Lite Sun Stream-Sunset Glow,902137916,,,90605,,Not OK,,,0.0
product-core_content-name_893361846_35,893361846_35,product-core,content-name,2025-01-20 14:50:11.773946 UTC,tr-tr,ULTRA 5 PLAY FG/AG Jr PUMA White-PUMA Bl,ar-ae,,ULTRA 5 PLAY FG/AG Jr PUMA White-PUMA Bl,893361846,,,28622,,Evaluation Blocked,,,0.0
product-core_content-name_903885670_35,903885670_35,product-core,content-name,2025-03-03 19:27:12.263903 UTC,tr-tr,M J FLT ESS JD HBR SS CREW,ar-ae,,M J FLT ESS JD HBR SS CREW,903885670,,,95189,,Evaluation Blocked,,,0.0
product-core_content-name_902983722_35,902983722_35,product-core,content-name,2025-02-28 13:50:52.327793 UTC,tr-tr,NKNCLUBLBRKNITSHORTSET,ar-ae,,NKNCLUBLBRKNITSHORTSET,902983722,,,23675,,Evaluation Blocked,,,0.0
product-core_content-name_902983722_35,902983722_35,product-core,content-name,2025-02-28 13:50:52.327793 UTC,tr-tr,NKNCLUBLBRKNITSHORTSET,ar-ae,,NKNCLUBLBRKNITSHORTSET,902983722,,,23675,,Evaluation Blocked,,,0.0
product-core_content-name_901815543_35,901815543_35,product-core,content-name,2025-02-24 10:38:59.731025 UTC,tr-tr,JRPHANTOMLUNAIICLUBTF - MINTATOMICRED-OFFNOIR,ar-ae,,JRPHANTOMLUNAIICLUBTF - MINTATOMICRED-OFFNOIR,901815543,,,42915,,Evaluation Blocked,,,0.0
product-core_content-name_901815525_35,901815525_35,product-core,content-name,2025-02-24 10:38:59.731194 UTC,tr-tr,C1TY - SMOKEGREYSUMMITWHITE-AQUARIUSBLUE,ar-ae,,C1TY - SMOKEGREYSUMMITWHITE-AQUARIUSBLUE,901815525,,,15959,,Evaluation Blocked,,,0.0
product-core_content-name_902983481_35,902983481_35,product-core,content-name,2025-02-28 13:50:53.377320 UTC,tr-tr,NKBBNSWOTLFTSHORTSET,ar-ae,,NKBBNSWOTLFTSHORTSET,902983481,,,23630,,Evaluation Blocked,,,0.0
ugc-rr_customer-review_857360129_1050832,857360129_1050832,ugc-rr,customer-review,2025-06-16 22:38:39.405754 UTC,tr-tr,"Teşekkür yerini hazıtirlamadığım için ederi daha açmadım , kırk çıkmaz inşallah��",ar-ae,"I haven't opened the thank you yet because I didn't prepare it, I hope it won't be forty ��","""لم أفتح الهدية بعد لأنني لم أعدّ شكرًا لك، أتمنى ألا تتجاوز الأربعين""""."" ��",857360129,Alibaba,,3075,https://www.trendyol.com/ar/pname-p-857360129,Evaluation Blocked,,,105.66037735849056
ugc-rr_customer-review_926230917_123594795,926230917_123594795,ugc-rr,customer-review,2025-06-28 22:25:04.589660 UTC,tr-tr,pisdir islemir,ar-ae,pisdir islemir,pisdir islemir,926230917,Alibaba,,5881,https://www.trendyol.com/ar/pname-p-926230917,Evaluation Blocked,,,0.0
product-core_content-name_945644097_1,945644097_1,product-core,content-name,2025-06-17 15:12:44.870128 UTC,tr-tr,5-YILDIZLI Galatâsarây./ Sane ./ 2024/25 Deplasman Beyaz Forma 4lü Set 5-YILDIZLI,ar-ae,5-Star Galatasaray./ Sane ./ 2024/25 Away White Jersey Set of 4 5-Star,5-STAR Galatasaray./ Sane ./ 2024/25 Away White Jersey Set 4 5-STAR,945644097,Alibaba,,91046,https://www.trendyol.com/ar/pname-p-945644097,Evaluation Blocked,,,0.0
product-core_content-name_900398083_1,900398083_1,product-core,content-name,2025-06-17 18:08:44.450677 UTC,tr-tr,Ezg Karre Beyaz Komütatör A.Opp Ezsnshop 1065757,ar-ae,Ezg Karre White Commutator A.Opp Ezsnshop 1065757,Ezg Karre White Commutator A.Opp Ezsnshop 1065757,900398083,Alibaba,,14354,https://www.trendyol.com/ar/pname-p-900398083,Not OK,,,0.0
