ctmsId,externalId,namespace,contentType,createdAt,sourceLanguage,sourceText,targetLanguage,enReferenceTranslation,targetText,contentId,translationProvider,productViewCount,productRevenue,productURL,Evaluation,Root Cause,Comment,arabic_percentage
product-core_content-description_313155533_1,313155533_1,product-core,content-description,2025-05-08 03:56:54.140301 UTC,tr-tr,Puma Skye Clean Sneaker,ar-ae,,حذاء رياضي بوما سكاي كلين,313155533,Alibaba,2126294.0,25190,https://www.trendyol.com/ar/pname-p-313155533,OK,,,100.0
product-core_content-description_887263146_1,887263146_1,product-core,content-description,2025-05-12 19:49:07.014951 UTC,tr-tr,ADİDAS Erkek GÜNLÜK AYAKKABI GRAND COURT BASE 2.0 JH8610,ar-ae,,أديداس حذاء رجالي يومي جراند كورت بيس 2.0 JH8610,887263146,Alibaba,8817939.0,63440,https://www.trendyol.com/ar/pname-p-887263146,OK,,,79.48717948717949
prod-qna_prod-qna_42713792_300725793_a,42713792_300725793_a,prod-qna,prod-qna,2025-03-18 08:37:08.897884 UTC,tr-tr,"Merhaba, ilgili ürün için sipariş verdiyseniz, tahmini teslimat tarihini ''Hesabım-Siparişlerim'' alanından ilgili ürün için ''Tahmini Kargoya Teslim'' alanından tarihini kontrol edebilirsiniz. Eğer sipariş vermediyseniz, ürünü sepetinize eklediğinizde ürün görselinin sağında tahmini kargoya verilme süresine dair bilgilendirmeye ulaşabilirsiniz. Platformumuzdaki arama kısmına bulmak istediğiniz ürünü yazıp ekranın sol tarafında bulunan filtreleri kullanarak istediğiniz ürünü inceleyebilirsiniz. Aradığınız ürünün stoklarımızda mevcut olması halinde sipariş verebilirsiniz. Keyifli alışverişler dileriz.",ar-ae,,"مرحبًا، إذا طلبت المنتج ذي الصلة، يمكنك التحقق من تاريخ التسليم المقدر في منطقة ""حساب الشحن المقدر"" الخاصة بالمنتج. إذا لم تقم بالطلب، يمكنك الحصول على وقت الشحن المقدر على يمين صورة المنتج عند إضافته إلى سلة التسوق الخاصة بك. اكتب العنصر الذي تريده على منصتنا واستخدم المرشحات الموجودة على الجانب الأيسر من الشاشة. يمكنك الطلب إذا كان المنتج الذي تبحث عنه متوفرًا في المخزون. نتمنى لكم تسوقاً ممتعاً.",42713792,,,41680,,Evaluation Blocked,,,102.19435736677116
product-core_content-name_947549540_1,947549540_1,product-core,content-name,2025-06-23 13:15:50.202320 UTC,tr-tr,mazzıdağ Spiralli Defter Sert Kapak 192 Sayfa 96 Yaprak 17x24 Cm Noktalı new store 1133631,ar-ae,Mazzıdağ Spiral Notebook Hard Cover 192 Pages 96 Sheets 17X24 cm Dotted New Store 1133631,مذكرة مزدوجة حلزونية غطاء صلب 192 صفحة 96 ورقة 17x24 سم منقط متجر جديد 1133631,947549540,Alibaba,,9739,https://www.trendyol.com/ar/pname-p-947549540,OK,,,73.4375
product-core_content-description_966719189_1,966719189_1,product-core,content-description,2025-08-06 10:06:16.467273 UTC,tr-tr,Anzarun Lite Bold Günlük Ayakkabı Siyah,ar-ae,Anzarun lite bold daily shoes black,أحذية أسانرون لايت بولد اليومية السوداء,966719189,Alibaba,1935761.0,32661,https://www.trendyol.com/ar/pname-p-966719189,Not OK,Accuracy,,100.0
product-core_content-description_773763843_1,773763843_1,product-core,content-description,2025-05-06 13:08:55.573072 UTC,tr-tr,Anzarun Lite Spor Ayakkabı,ar-ae,,حذاء أنزارون لايت الرياضي,773763843,Alibaba,2080656.0,92071,https://www.trendyol.com/ar/pname-p-773763843,OK,,,100.0
product-core_content-description_886838801_43,886838801_43,product-core,content-description,2025-07-01 13:43:17.471595 UTC,tr-tr,Kruz Profoam AC+ PS Sneaker For All Time Red-PUMA Black,ar-ae,Kruz profoam ac+ ps sneaker for all time red-puma black,حذاء رياضي كروز بروفوم AC+ PS من أجل كل العصور باللون الأحمر-PUMA باللون الأسود,886838801,Alibaba,2817329.0,36089,https://www.trendyol.com/ar/pname-p-886838801,Not OK,Terminology,,87.5
product-core_content-name_845122344_35,845122344_35,product-core,content-name,2025-05-05 06:43:54.909308 UTC,tr-tr,Vizon-Açık Yeşil-Beyaz Slim/Dar Kesim Bisiklet Yaka %100 Pamuklu 3'lü Paket T-Shirt TMNSS19BO0007,ar-ae,,تي شيرت Mink-Light Green-White Slim/Slim Cut برقبة دائرية 100% قطن مكون من 3 قطع TMNSS19BO0007,845122344,,,50058,,Not OK,مجموعة من 3 قمصان بألوان المينك والأخضر الفاتح والأبيض، مصنوعة من القطن بنسبة 100% وبقصة ضيقة ورقبة دائرية Tmnss19Bo0007,Some words are left in EN,38.15789473684211
ugc-rr_customer-review_121362090_12173095,121362090_12173095,ugc-rr,customer-review,2025-06-28 22:39:04.474005 UTC,tr-tr,Umarım faydalı olur temelim sıfır,ar-ae,I hope it is useful my basis is zero,آمل أن يكون هذا مفيدًا، فأساسي هو الصفر,121362090,Alibaba,,3013,https://www.trendyol.com/ar/pname-p-121362090,Not OK,,,106.66666666666667
product-core_content-name_760541625_1,760541625_1,product-core,content-name,2025-08-19 05:28:30.706767 UTC,tr-tr,Koyu Mavi More Sustainable Yıkama Efektli Bol Kesim Yüksek Bel Loose Baggy Jeans TWOAW24JE00308,ar-ae,Dark Blue More Sustainable Wash Effect Loose Cut High Waist Loose Baggy Jeans Twoaw24Je00308,بنطلون جينز فضفاض ذو قصة واسعة وخصر عالٍ بتأثير غسيل مستدام أكثر باللون الأزرق الداكن TWOAW24JE00308,760541625,Alibaba,1039358.0,69744,https://www.trendyol.com/ar/pname-p-760541625,Not OK,Accuracy,,84.52380952380952
product-core_content-name_3952777_35,3952777_35,product-core,content-name,2025-03-28 17:15:34.091977 UTC,tr-tr,%100 Doğal Roll-on Kadın Deodorant Ter Kokusu Önleyici Bitkisel Leke Bırakmayan Vegan 50 ml,ar-ae,,مزيل عرق نسائي طبيعي 100% مضاد للعرق ومضاد للبقع نباتي نباتي 50 مل,3952777,,,78276,,Not OK,,,90.56603773584906
product-core_content-name_902983413_35,902983413_35,product-core,content-name,2025-02-28 13:50:51.835831 UTC,tr-tr,MNSWCLUBJSYSHORT,ar-ae,,MNSWCLUBJSYSHORT,902983413,,,9140,,Evaluation Blocked,,,0.0
product-core_content-name_902983397_35,902983397_35,product-core,content-name,2025-02-28 13:50:51.824158 UTC,tr-tr,COURT BOROUGH LOW RECRAFT BTV,ar-ae,,كورت بوروج منخفض التصنيع BTV,902983397,,,52531,,Not OK,,transliteration + literal translation,87.5
product-core_content-description_965748493_1,965748493_1,product-core,content-description,2025-08-05 08:54:09.983279 UTC,tr-tr,adidas Cloudfoam Move Erkek Koşu Ayakkabısı ID6528 Siyah,ar-ae,Adidas cloudfoam move men's running shoes id6528 black,حذاء الجري adidas Cloudfoam Move للرجال ID6528 أسود,965748493,Alibaba,2314628.0,61605,https://www.trendyol.com/ar/pname-p-965748493,OK,,,43.18181818181818
product-core_content-name_922666396_1,922666396_1,product-core,content-name,2025-08-20 13:32:17.246349 UTC,tr-tr,530 SUMMER FOG,ar-ae,530 summer fog,530 ضباب الصيف,922666396,Alibaba,1237624.0,19274,https://www.trendyol.com/ar/pname-p-922666396,Not OK,Terminology,,75.0
