ctmsId,externalId,namespace,contentType,createdAt,sourceLanguage,sourceText,targetLanguage,enReferenceTranslation,targetText,contentId,translationProvider,productViewCount,productRevenue,productURL,Evaluation,Root Cause,Comment
prod-qna_prod-qna_42737001_287216993_a,42737001_287216993_a,prod-qna,prod-qna,2025-02-15 21:58:01.950036 UTC,tr-tr,Siyah renktedir efendim.,ar-ae,"It is black, sir.",إنه أسود يا سيدي.,42737001,Alibaba,10308245.0,48674,https://www.trendyol.com/ar/pname-p-42737001,Ideal,,
prod-qna_prod-qna_42737001_287216993_q,42737001_287216993_q,prod-qna,prod-qna,2025-02-15 21:58:01.847739 UTC,tr-tr,Merhaba ürünün rengi siyahmı yoksa grimidir?,ar-ae,"Hello, is the color of the product black or grey?",مرحبا، هل لون المنتج أسود أم رمادي؟,42737001,Alibaba,10308245.0,95536,https://www.trendyol.com/ar/pname-p-42737001,OK,,
prod-qna_prod-qna_42737001_287479939_a,42737001_287479939_a,prod-qna,prod-qna,2025-01-30 13:21:09.227949 UTC,tr-tr,"Merhaba, siz değerli üyelerimizin rahat ve güvenilir bir alışveriş deneyimi yaşayabilmesi için satışa sunulan ürünlerin orijinallik kontrolü, ürünler satışa çıkmadan önce yapılmaktadır. Keyifli alışverişler dileriz.",ar-ae,"Hello, products offered for sale are checked before they go for sale so that our valued members can have a comfortable and reliable shopping experience. We wish you pleasant shopping.",مرحبًا، يمكنك التحقق من صحة المنتجات المعروضة للبيع قبل طرحها للبيع حتى يتمتع أعضاءنا الكرام بتجربة تسوق مريحة وموثوقة. نتمنى لكم تسوقاً ممتعاً.,42737001,Alibaba,10308245.0,6219,https://www.trendyol.com/ar/pname-p-42737001,OK,,
prod-qna_prod-qna_42737001_151675110_a,42737001_151675110_a,prod-qna,prod-qna,2025-02-15 21:58:01.749663 UTC,tr-tr,Merhaba;      Makinede yıkamanız durumunda garanti kapsamındna çıkmaktadır.,ar-ae,"Hello; If you wash it in the machine, the warranty is covered.",مرحبًا؛ يتم تغطيته تحت الضمان إذا قمت بغسله في الغسالة.,42737001,Alibaba,10308245.0,90436,https://www.trendyol.com/ar/pname-p-42737001,OK,,
prod-qna_prod-qna_42737001_262338763_q,42737001_262338763_q,prod-qna,prod-qna,2025-02-14 22:24:56.396578 UTC,tr-tr,merhaba ayakkabı siyah mı lacivert mi,ar-ae,"Hello, are the shoes black or navy blue?",مرحبا، هل الحذاء أسود أم أزرق داكن؟,42737001,Alibaba,10308245.0,82629,https://www.trendyol.com/ar/pname-p-42737001,OK,,
prod-qna_prod-qna_42737001_292748957_a,42737001_292748957_a,prod-qna,prod-qna,2025-02-20 19:41:32.138804 UTC,tr-tr,"Merhaba,  ürünümüz Türkiye de üretilmiştir.  İlginiz için teşekkür ederiz.",ar-ae,"Hello, our product is produced in Türkiye. Thank you for your interest.",مرحباً، منتجنا تم إنتاجه في تركيا. شكرا لك على اهتمامك.,42737001,Alibaba,10308245.0,25330,https://www.trendyol.com/ar/pname-p-42737001,OK,,
prod-qna_prod-qna_42737001_290614608_a,42737001_290614608_a,prod-qna,prod-qna,2025-03-10 21:27:44.992472 UTC,tr-tr,39 numara uygun olur.,ar-ae,Number 39 would be suitable.,رقم 39 سيكون مناسبا,42737001,Alibaba,10308245.0,42335,https://www.trendyol.com/ar/pname-p-42737001,OK,,
prod-qna_prod-qna_42737001_279642613_q,42737001_279642613_q,prod-qna,prod-qna,2025-02-14 22:24:56.599321 UTC,tr-tr,Hocam bu ayakkabı siyah değil miydi?? Lacivert gelmiş.,ar-ae,"Sir, wasn't these shoes black?? Navy blue has arrived.",سيدي، ألم يكن هذا الحذاء أسود؟? وصل الأزرق الداكن.,42737001,Alibaba,10308245.0,49889,https://www.trendyol.com/ar/pname-p-42737001,OK,,
prod-qna_prod-qna_42737001_151675110_q,42737001_151675110_q,prod-qna,prod-qna,2025-02-15 21:58:01.648610 UTC,tr-tr,Ürün makinede yıkanabilir mi?,ar-ae,Is the product machine washable?,هل المنتج قابل للغسل في الغسالة؟,42737001,Alibaba,10308245.0,7559,https://www.trendyol.com/ar/pname-p-42737001,OK,,
prod-qna_prod-qna_42737001_285915915_a,42737001_285915915_a,prod-qna,prod-qna,2025-01-24 05:12:41.501109 UTC,tr-tr,"Merhaba,  İlgili ürünümüz Türkiye de üretilmiştir. İlginiz için teşekkür ederiz.",ar-ae,"Hello, Our relevant product is produced in Türkiye. Thank you for your attention.",مرحبًا، منتجنا ذو الصلة يتم إنتاجه في تركيا. شكرا لك على اهتمامك.,42737001,Alibaba,10308245.0,21889,https://www.trendyol.com/ar/pname-p-42737001,OK,,
prod-qna_prod-qna_42737001_286184646_a,42737001_286184646_a,prod-qna,prod-qna,2025-01-25 10:21:50.678767 UTC,tr-tr,"Merhaba, ürün unisex kullanıma uygundur. Keyifli alışverişler dileriz.",ar-ae,"Hello, the product is suitable for unisex use. We wish you pleasant shopping.",مرحباً، المنتج مناسب للاستخدام للجنسين. نتمنى لكم تسوقاً ممتعاً.,42737001,Alibaba,10308245.0,10822,https://www.trendyol.com/ar/pname-p-42737001,Ideal,,
prod-qna_prod-qna_42737001_209542139_a,42737001_209542139_a,prod-qna,prod-qna,2025-02-14 22:24:56.086674 UTC,tr-tr,"Merhaba, makinede yıkanmasını tavsiye etmiyoruz. Kullanım ve temizlik talimatları ürün içerisinde yer almaktadır",ar-ae,"Hello, we do not recommend machine washing. Instructions for use and cleaning are included with the product.",مرحبًا، لا ننصح بالغسيل في الغسالة. تعليمات الاستخدام والتنظيف متضمنة مع المنتج.,42737001,Alibaba,10308245.0,24854,https://www.trendyol.com/ar/pname-p-42737001,OK,,
prod-qna_prod-qna_42737001_228683717_a,42737001_228683717_a,prod-qna,prod-qna,2025-02-14 22:24:55.881981 UTC,tr-tr,"Değerli Müşterimiz,yıkanması önerilmemektedir",ar-ae,"Dear Customer, washing is not recommended.",عزيزي العميل، لا ينصح بالغسيل.,42737001,Alibaba,10308245.0,58480,https://www.trendyol.com/ar/pname-p-42737001,OK,,
prod-qna_prod-qna_42737001_290614608_q,42737001_290614608_q,prod-qna,prod-qna,2025-03-10 21:27:44.888586 UTC,tr-tr,25 sm ayagim hangi beden alim ?,ar-ae,"I have 25 cm feet, which size should I buy?",طول قدمي 25 سم، ما هو المقاس الذي يجب أن أشتريه؟,42737001,Alibaba,10308245.0,7488,https://www.trendyol.com/ar/pname-p-42737001,Ideal,,
prod-qna_prod-qna_34721887_250041869_q,34721887_250041869_q,prod-qna,prod-qna,2025-02-14 21:12:16.380174 UTC,tr-tr,Ürünün beden tablosunda 42 numara görünmüyor sebebi nedir ?,ar-ae,Size 42 does not appear in the size chart of the product What is the reason?,لا يظهر الرقم 42 في جدول مقاسات المنتج ماهو السبب؟,34721887,Alibaba,10190970.0,82312,https://www.trendyol.com/ar/pname-p-34721887,OK,,
prod-qna_prod-qna_34721887_297732757_a,34721887_297732757_a,prod-qna,prod-qna,2025-03-09 20:59:00.979114 UTC,tr-tr,"Merhaba, ürün erkek kalıplarına göre üretilmiştir ancak beden ölçülerine göre dilerseniz tercih edebilirsiniz. İlginiz için teşekkür ederiz.",ar-ae,"Hello, the product is produced according to men's patterns, but you can choose it according to body measurements. Thank you for your interest.",مرحبًا، المنتج يتم إنتاجه حسب أنماط الرجال، ولكن يمكنك اختياره حسب قياسات الجسم إذا كنت ترغب في ذلك. شكرا لك على اهتمامك.,34721887,Alibaba,10190970.0,57194,https://www.trendyol.com/ar/pname-p-34721887,OK,,
prod-qna_prod-qna_34721887_295095239_a,34721887_295095239_a,prod-qna,prod-qna,2025-02-28 05:24:39.921469 UTC,tr-tr,"Merhaba,  evet tüm ürünlerimiz orjinaldir. Normalde orjinallik ile ilgili sormanıza gerek olmadan, zaman kaybı yaşamadan alışverişlerinizi gönül rahatlığı ile yapabilirsiniz. Trendyol'da sadece orjinal ürün satışı gerçekleşir bunun sebebi bizim gibi resmi bayilerin tedarikçi olmasıdır. Sektöründe tanınan ve yüksek bir hacme sahip firmamız markanın Türkiye yetkili satış bayisidir.",ar-ae,"Hello, yes all our products are original. Normally, you can shop with peace of mind without having to ask about originality. Only original products are sold on Trendyol, this is because official dealers like us are suppliers. Our company, which is known in its sector and has a high volume, is the authorized sales dealer of the brand in Türkiye.",مرحبا، نعم جميع منتجاتنا أصلية. عادةً، يمكنك التسوق براحة البال دون الحاجة إلى السؤال عن الأصالة دون إضاعة الوقت. يتم بيع المنتجات الأصلية فقط على Trendyol، وذلك لأن الوكلاء الرسميين مثلينا هم الموردون. شركتنا المعروفة في صناعتها وحجمها العالي هي وكيل المبيعات المعتمد للعلامة التجارية في تركيا.,34721887,Alibaba,10190970.0,82987,https://www.trendyol.com/ar/pname-p-34721887,OK,,
prod-qna_prod-qna_34721879_175709183_a,34721879_175709183_a,prod-qna,prod-qna,2025-02-20 21:40:10.313589 UTC,tr-tr,"Merhabalar, görseldeki ürün gönderelicektir.",ar-ae,"Hello, the product in the image will be sent.",مرحبا، سيتم إرسال المنتج الموجود في الصورة.,34721879,Alibaba,8805491.0,73544,https://www.trendyol.com/ar/pname-p-34721879,OK,,
prod-qna_prod-qna_34721879_265886336_q,34721879_265886336_q,prod-qna,prod-qna,2025-02-14 22:50:22.332639 UTC,tr-tr,Benim ürün yanları birqz sarımsı geldi tam beyaz bekliyordum,ar-ae,The sides of my product came a little yellowish I expected full white,جاء منتجي باللون الأصفر قليلاً على الجوانب كنت أتوقع الأبيض الكامل,34721879,Alibaba,8805491.0,63450,https://www.trendyol.com/ar/pname-p-34721879,OK,,
prod-qna_prod-qna_34721879_265886336_a,34721879_265886336_a,prod-qna,prod-qna,2025-02-14 22:50:22.432729 UTC,tr-tr,ürün resmi atabilirmisiniz,ar-ae,Can you post a product picture?,يمكنك إرسال صورة المنتج,34721879,Alibaba,8805491.0,43154,https://www.trendyol.com/ar/pname-p-34721879,Not OK,"هل يمكنك نشر صورة المنتج؟
 هلّا تنشر صورة المنتج؟",A questions translated as a statement.
prod-qna_prod-qna_34721879_299962963_a,34721879_299962963_a,prod-qna,prod-qna,2025-03-17 02:00:00.669668 UTC,tr-tr,Tüm ürünlerimiz faturalı orjinal,ar-ae,All our products are original with invoice.,جميع منتجاتنا أصلية مع الفاتورة,34721879,Alibaba,8805491.0,53624,https://www.trendyol.com/ar/pname-p-34721879,OK,,
prod-qna_prod-qna_34721879_175709183_q,34721879_175709183_q,prod-qna,prod-qna,2025-02-20 21:40:10.208526 UTC,tr-tr,"iyi günler, ayakkabıyı görseldeki gibi gri gönderiyorsunuz  değil mi",ar-ae,"Good day, you send the shoes in gray as in the picture, right?",يوم جيد، قمت بإرسال الأحذية باللون الرمادي كما في الصورة، أليس كذلك؟,34721879,Alibaba,8805491.0,42581,https://www.trendyol.com/ar/pname-p-34721879,OK,,
prod-qna_prod-qna_34721879_291553566_a,34721879_291553566_a,prod-qna,prod-qna,2025-02-13 19:58:36.842138 UTC,tr-tr,"Merhaba, siparişinizle ilgili sorularınızın detaylı kontrolü için Siparişlerim-Sipariş Detay-Trendyol Asistan alanındaki ilgili konu başlığını seçerek iletmenizi rica ediyoruz.",ar-ae,"Hello, for detailed check of your questions about your order, we kindly ask you to choose My Orders-Order Details-Trendyol Related subject title.","مرحبًا، للتحقق التفصيلي من أسئلتك حول طلبك، يرجى تحديد عنوان ""طلبي-تفاصيل الطلب"" في منطقة مساعد Trendyol ذات الصلة.",34721879,Alibaba,8805491.0,20719,https://www.trendyol.com/ar/pname-p-34721879,Evaluation Blocked,,The Problem is with the English translation in the first place. The English text is not understandable at all. I translated the Turkish text using Google Translate to understand what it means.
prod-qna_prod-qna_42713792_293531243_a,42713792_293531243_a,prod-qna,prod-qna,2025-02-21 13:27:29.627712 UTC,tr-tr,"Merhaba, suni deri iç taban materyali, ayaklarınızın gün boyu rahat etmesini sağlar. İlginiz için teşekkür ederiz.",ar-ae,"Hello, faux leather insole material allows your feet to be comfortable all day long. Thank you for your interest.",مرحبًا، مادة النعل المصنوعة من الجلد الصناعي تحافظ على راحة قدميك طوال اليوم. شكرا لك على اهتمامك.,42713792,Alibaba,7791202.0,20402,https://www.trendyol.com/ar/pname-p-42713792,OK,,
