ctmsId,externalId,namespace,contentType,createdAt,sourceLanguage,sourceText,targetLanguage,enReferenceTranslation,targetText,contentId,translationProvider,productViewCount,productRevenue,productURL,Evaluation,Root Cause,Comment,arabic_percentage
ugc-rr_customer-review_42737001_123854454,42737001_123854454,ugc-rr,customer-review,2025-03-08 21:25:51.771106 UTC,tr-tr,İstediğim gibi geldi teşekkürler Trendyol ��,ar-ae,It came as I wanted thank you Trendyol ��,لقد جاء كما أردت شكرا لك ترينديول ��,42737001,Alibaba,10308245.0,48279,https://www.trendyol.com/ar/pname-p-42737001,OK,,,100.0
ugc-rr_customer-review_42737001_40582964,42737001_40582964,ugc-rr,customer-review,2025-03-07 21:50:00.442142 UTC,tr-tr,Çok güzel bir ayakkabı çok rahat  oğluma aldım çok beğendi ����,ar-ae,"Very nice shoes, very comfortable I bought it for my son He liked it very much ����",أحذية جميلة جدا ومريحة جدا اشتريتها لابني لقد أعجبه كثيرًا ����,42737001,Alibaba,10308245.0,40728,https://www.trendyol.com/ar/pname-p-42737001,OK,,,102.08333333333333
ugc-rr_customer-review_42737001_7636656,42737001_7636656,ugc-rr,customer-review,2024-12-31 21:25:14.580759 UTC,tr-tr,gerçekten çok rahat ve şık bi ürün gönderici mağazaya da teşekkürler kargo güzel paketlenmiş ��,ar-ae,Really very comfortable and stylish a product sender Thanks to the store too shipping well packaged ��,حقا مريحة جدا وأنيقة إرسال المنتج شكرا للمتجر أيضا البضائع معبأة بشكل جيد ��,42737001,Alibaba,10308245.0,50683,https://www.trendyol.com/ar/pname-p-42737001,Not OK,,Words are very mixed up and not understandable both in Arabic and English.,100.0
ugc-rr_customer-review_42737001_13838282,42737001_13838282,ugc-rr,customer-review,2024-11-15 21:29:14.046114 UTC,tr-tr,�� ürün güzel,ar-ae,�� The product is nice,�� المنتج جميل,42737001,Alibaba,10308245.0,39617,https://www.trendyol.com/ar/pname-p-42737001,OK,,,100.0
product-core_content-description_842041667_35,842041667_35,product-core,content-description,2025-03-13 10:23:36.441231 UTC,tr-tr,Skyrocket Lite WTR-Cool Mid Gray-PUMA Black,ar-ae,Skyrocket Lite Wtr-Cool Mid Gray-Puma Black,Skyrocket Lite WTR-Cool Mid Gray-PUMA Black,842041667,Alibaba,473108.0,9299,https://www.trendyol.com/ar/pname-p-842041667,Evaluation Blocked,,,0.0
product-core_content-description_892011723_35,892011723_35,product-core,content-description,2025-01-15 10:33:31.527392 UTC,tr-tr,W NIKE COURT VISION LO VDAY WHITE/TEAM RED-ADOBE-DRAGON RED,ar-ae,W nike court vision lo vday white/team red-adobe-dragon red,W NIKE COURT VISION LO VDAY WHITE/TEAM RED-ADOBE-DRAGON RED,892011723,Alibaba,227582.0,34033,https://www.trendyol.com/ar/pname-p-892011723,OK,,,0.0
product-core_content-description_893361816_35,893361816_35,product-core,content-description,2025-01-20 14:50:23.768555 UTC,tr-tr,Puma 9-T PUMA White-Mauve Mist-Alpine Sn,ar-ae,Puma 9-t puma white-mauve mist-alpine sn,Puma 9-T PUMA White-Mauve Mist-Alpine Sn,893361816,Alibaba,219177.0,41383,https://www.trendyol.com/ar/pname-p-893361816,Evaluation Blocked,,,0.0
product-core_content-description_42004137_35,42004137_35,product-core,content-description,2025-03-02 06:45:50.894031 UTC,tr-tr,394055-101,ar-ae,394055 -101,394055 -101,42004137,Alibaba,176069.0,87437,https://www.trendyol.com/ar/pname-p-42004137,Ideal,,,0.0
product-core_content-description_892011741_35,892011741_35,product-core,content-description,2025-01-15 10:33:31.733746 UTC,tr-tr,W NIKE COURT VISION LO PHANTOMPSYCHICBLUE-LTBONE-DIFFUSEDBL,ar-ae,W nike court vision lo phantompsychicblue-ltbone-diffusedbl,W NIKE COURT VISION LO PHANTOMPSYCHICBLUE-LTBONE-DIFFUSEDBL,892011741,Alibaba,164079.0,73502,https://www.trendyol.com/ar/pname-p-892011741,Evaluation Blocked,,,0.0
product-core_content-name_893361836_35,893361836_35,product-core,content-name,2025-01-20 14:50:11.480727 UTC,tr-tr,R78 PUMA White-PUMA Black-Red Fire,ar-ae,R78 Puma White-Puma Black-Red Fire,R78 PUMA White-PUMA Black-Red Fire,893361836,Alibaba,270241.0,89220,https://www.trendyol.com/ar/pname-p-893361836,OK,,,0.0
ugc-rr_customer-review_828498459_24512728,828498459_24512728,ugc-rr,customer-review,2025-02-21 14:03:00.232774 UTC,tr-tr,Tşkler hızlı kargo sorunsuz ürün ��,ar-ae,,شكرا لك شحن سريع منتج خالي من المشاكل ��,828498459,,,34487,,OK,,,100.0
